	Code	Name
COG1148	C	Energy production and conversion
COG1149	R	General function prediction only
COG1150	C	Energy production and conversion
COG1151	P	Inorganic ion transport and metabolism
COG1151	C	Energy production and conversion
COG1152	C	Energy production and conversion
COG1153	C	Energy production and conversion
COG1154	H	Coenzyme transport and metabolism
COG1154	I	Lipid transport and metabolism
COG1155	C	Energy production and conversion
COG1156	C	Energy production and conversion
COG1157	N	Cell motility
COG1157	U	Intracellular trafficking, secretion, and vesicular transport
COG1158	K	Transcription
COG1159	J	Translation, ribosomal structure and biogenesis
COG1160	R	General function prediction only
COG1161	J	Translation, ribosomal structure and biogenesis
COG1162	J	Translation, ribosomal structure and biogenesis
COG1163	J	Translation, ribosomal structure and biogenesis
COG1164	E	Amino acid transport and metabolism
COG1165	H	Coenzyme transport and metabolism
COG1166	E	Amino acid transport and metabolism
COG1167	K	Transcription
COG1167	E	Amino acid transport and metabolism
COG1168	E	Amino acid transport and metabolism
COG1168	R	General function prediction only
COG1169	H	Coenzyme transport and metabolism
COG1169	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1171	E	Amino acid transport and metabolism
COG1172	G	Carbohydrate transport and metabolism
COG1173	E	Amino acid transport and metabolism
COG1173	P	Inorganic ion transport and metabolism
COG1174	E	Amino acid transport and metabolism
COG1175	G	Carbohydrate transport and metabolism
COG1176	E	Amino acid transport and metabolism
COG1177	E	Amino acid transport and metabolism
COG1178	P	Inorganic ion transport and metabolism
COG1179	J	Translation, ribosomal structure and biogenesis
COG1180	O	Posttranslational modification, protein turnover, chaperones
COG1181	M	Cell wall/membrane/envelope biogenesis
COG1181	R	General function prediction only
COG1182	C	Energy production and conversion
COG1183	I	Lipid transport and metabolism
COG1184	J	Translation, ribosomal structure and biogenesis
COG1185	J	Translation, ribosomal structure and biogenesis
COG1186	J	Translation, ribosomal structure and biogenesis
COG1187	J	Translation, ribosomal structure and biogenesis
COG1188	J	Translation, ribosomal structure and biogenesis
COG1189	J	Translation, ribosomal structure and biogenesis
COG1190	J	Translation, ribosomal structure and biogenesis
COG1191	K	Transcription
COG1192	N	Cell motility
COG1193	L	Replication, recombination and repair
COG1194	L	Replication, recombination and repair
COG1195	L	Replication, recombination and repair
COG1196	D	Cell cycle control, cell division, chromosome partitioning
COG1197	L	Replication, recombination and repair
COG1197	K	Transcription
COG1198	L	Replication, recombination and repair
COG1199	L	Replication, recombination and repair
COG1200	L	Replication, recombination and repair
COG1201	L	Replication, recombination and repair
COG1202	L	Replication, recombination and repair
COG1203	V	Defense mechanisms
COG1204	L	Replication, recombination and repair
COG1205	L	Replication, recombination and repair
COG1206	J	Translation, ribosomal structure and biogenesis
COG1207	M	Cell wall/membrane/envelope biogenesis
COG1208	J	Translation, ribosomal structure and biogenesis
COG1208	M	Cell wall/membrane/envelope biogenesis
COG1209	M	Cell wall/membrane/envelope biogenesis
COG1210	M	Cell wall/membrane/envelope biogenesis
COG1211	I	Lipid transport and metabolism
COG1212	M	Cell wall/membrane/envelope biogenesis
COG1213	I	Lipid transport and metabolism
COG1214	J	Translation, ribosomal structure and biogenesis
COG1215	N	Cell motility
COG1216	G	Carbohydrate transport and metabolism
COG1217	T	Signal transduction mechanisms
COG1218	P	Inorganic ion transport and metabolism
COG1219	O	Posttranslational modification, protein turnover, chaperones
COG1220	O	Posttranslational modification, protein turnover, chaperones
COG1221	K	Transcription
COG1221	T	Signal transduction mechanisms
COG1222	O	Posttranslational modification, protein turnover, chaperones
COG1223	R	General function prediction only
COG1224	K	Transcription
COG1225	O	Posttranslational modification, protein turnover, chaperones
COG1226	P	Inorganic ion transport and metabolism
COG1227	C	Energy production and conversion
COG1227	P	Inorganic ion transport and metabolism
COG1228	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1229	C	Energy production and conversion
COG1230	P	Inorganic ion transport and metabolism
COG1231	E	Amino acid transport and metabolism
COG1232	H	Coenzyme transport and metabolism
COG1233	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1234	J	Translation, ribosomal structure and biogenesis
COG1235	P	Inorganic ion transport and metabolism
COG1236	J	Translation, ribosomal structure and biogenesis
COG1237	R	General function prediction only
COG1238	S	Function unknown
COG1239	H	Coenzyme transport and metabolism
COG1240	H	Coenzyme transport and metabolism
COG1241	L	Replication, recombination and repair
COG1242	R	General function prediction only
COG1243	K	Transcription
COG1243	B	Chromatin structure and dynamics
COG1244	R	General function prediction only
COG1245	J	Translation, ribosomal structure and biogenesis
COG1246	E	Amino acid transport and metabolism
COG1247	E	Amino acid transport and metabolism
COG1249	C	Energy production and conversion
COG1250	I	Lipid transport and metabolism
COG1251	C	Energy production and conversion
COG1252	C	Energy production and conversion
COG1253	R	General function prediction only
COG1254	C	Energy production and conversion
COG1255	S	Function unknown
COG1256	N	Cell motility
COG1257	I	Lipid transport and metabolism
COG1258	J	Translation, ribosomal structure and biogenesis
COG1259	R	General function prediction only
COG1260	I	Lipid transport and metabolism
COG1261	N	Cell motility
COG1262	O	Posttranslational modification, protein turnover, chaperones
COG1263	G	Carbohydrate transport and metabolism
COG1264	G	Carbohydrate transport and metabolism
COG1266	O	Posttranslational modification, protein turnover, chaperones
COG1267	I	Lipid transport and metabolism
COG1268	H	Coenzyme transport and metabolism
COG1269	C	Energy production and conversion
COG1270	H	Coenzyme transport and metabolism
COG1271	C	Energy production and conversion
COG1272	U	Intracellular trafficking, secretion, and vesicular transport
COG1273	L	Replication, recombination and repair
COG1274	C	Energy production and conversion
COG1275	V	Defense mechanisms
COG1276	P	Inorganic ion transport and metabolism
COG1277	O	Posttranslational modification, protein turnover, chaperones
COG1278	K	Transcription
COG1279	E	Amino acid transport and metabolism
COG1280	E	Amino acid transport and metabolism
COG1281	O	Posttranslational modification, protein turnover, chaperones
COG1282	C	Energy production and conversion
COG1283	P	Inorganic ion transport and metabolism
COG1284	S	Function unknown
COG1285	S	Function unknown
COG1286	S	Function unknown
COG1287	O	Posttranslational modification, protein turnover, chaperones
COG1288	R	General function prediction only
COG1289	S	Function unknown
COG1290	C	Energy production and conversion
COG1291	N	Cell motility
COG1292	M	Cell wall/membrane/envelope biogenesis
COG1293	J	Translation, ribosomal structure and biogenesis
COG1294	C	Energy production and conversion
COG1295	S	Function unknown
COG1296	E	Amino acid transport and metabolism
COG1297	S	Function unknown
COG1298	N	Cell motility
COG1299	G	Carbohydrate transport and metabolism
COG1300	D	Cell cycle control, cell division, chromosome partitioning
COG1301	C	Energy production and conversion
COG1302	S	Function unknown
COG1303	R	General function prediction only
COG1304	C	Energy production and conversion
COG1304	I	Lipid transport and metabolism
COG1304	R	General function prediction only
COG1305	O	Posttranslational modification, protein turnover, chaperones
COG1306	S	Function unknown
COG1307	I	Lipid transport and metabolism
COG1308	K	Transcription
COG1309	K	Transcription
COG1310	O	Posttranslational modification, protein turnover, chaperones
COG1311	L	Replication, recombination and repair
COG1312	G	Carbohydrate transport and metabolism
COG1313	R	General function prediction only
COG1314	U	Intracellular trafficking, secretion, and vesicular transport
COG1315	S	Function unknown
COG1316	M	Cell wall/membrane/envelope biogenesis
COG1317	N	Cell motility
COG1317	U	Intracellular trafficking, secretion, and vesicular transport
COG1318	K	Transcription
COG1319	C	Energy production and conversion
COG1320	P	Inorganic ion transport and metabolism
COG1321	K	Transcription
COG1322	L	Replication, recombination and repair
COG1323	R	General function prediction only
COG1324	P	Inorganic ion transport and metabolism
COG1325	J	Translation, ribosomal structure and biogenesis
COG1326	R	General function prediction only
COG1327	K	Transcription
COG1328	F	Nucleotide transport and metabolism
COG1329	K	Transcription
COG1330	L	Replication, recombination and repair
COG1331	R	General function prediction only
COG1332	V	Defense mechanisms
COG1333	C	Energy production and conversion
COG1333	O	Posttranslational modification, protein turnover, chaperones
COG1334	R	General function prediction only
COG1335	H	Coenzyme transport and metabolism
COG1335	R	General function prediction only
COG1336	V	Defense mechanisms
COG1337	V	Defense mechanisms
COG1338	N	Cell motility
COG1339	H	Coenzyme transport and metabolism
COG1340	S	Function unknown
COG1341	J	Translation, ribosomal structure and biogenesis
COG1342	R	General function prediction only
COG1343	V	Defense mechanisms
COG1344	N	Cell motility
COG1345	N	Cell motility
COG1346	M	Cell wall/membrane/envelope biogenesis
COG1347	C	Energy production and conversion
COG1348	P	Inorganic ion transport and metabolism
COG1349	K	Transcription
COG1349	G	Carbohydrate transport and metabolism
COG1350	E	Amino acid transport and metabolism
COG1351	F	Nucleotide transport and metabolism
COG1352	N	Cell motility
COG1352	T	Signal transduction mechanisms
COG1353	V	Defense mechanisms
COG1354	L	Replication, recombination and repair
COG1355	R	General function prediction only
COG1356	K	Transcription
COG1357	S	Function unknown
COG1358	J	Translation, ribosomal structure and biogenesis
COG1359	C	Energy production and conversion
COG1360	N	Cell motility
COG1361	S	Function unknown
COG1362	E	Amino acid transport and metabolism
COG1363	E	Amino acid transport and metabolism
COG1363	G	Carbohydrate transport and metabolism
COG1364	E	Amino acid transport and metabolism
COG1365	R	General function prediction only
COG1366	T	Signal transduction mechanisms
COG1367	V	Defense mechanisms
COG1368	M	Cell wall/membrane/envelope biogenesis
COG1369	J	Translation, ribosomal structure and biogenesis
COG1370	J	Translation, ribosomal structure and biogenesis
COG1371	R	General function prediction only
COG1372	L	Replication, recombination and repair
COG1372	X	Mobilome: prophages, transposons
COG1373	R	General function prediction only
COG1374	J	Translation, ribosomal structure and biogenesis
COG1376	M	Cell wall/membrane/envelope biogenesis
COG1377	N	Cell motility
COG1378	K	Transcription
COG1379	R	General function prediction only
COG1380	R	General function prediction only
COG1381	L	Replication, recombination and repair
COG1382	O	Posttranslational modification, protein turnover, chaperones
COG1383	J	Translation, ribosomal structure and biogenesis
COG1384	J	Translation, ribosomal structure and biogenesis
COG1385	J	Translation, ribosomal structure and biogenesis
COG1386	K	Transcription
COG1387	E	Amino acid transport and metabolism
COG1387	R	General function prediction only
COG1388	M	Cell wall/membrane/envelope biogenesis
COG1389	L	Replication, recombination and repair
COG1390	C	Energy production and conversion
COG1391	O	Posttranslational modification, protein turnover, chaperones
COG1392	S	Function unknown
COG1393	P	Inorganic ion transport and metabolism
COG1394	C	Energy production and conversion
COG1395	K	Transcription
COG1396	K	Transcription
COG1397	O	Posttranslational modification, protein turnover, chaperones
COG1398	I	Lipid transport and metabolism
COG1399	S	Function unknown
COG1400	U	Intracellular trafficking, secretion, and vesicular transport
COG1401	V	Defense mechanisms
COG1402	H	Coenzyme transport and metabolism
COG1402	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1403	V	Defense mechanisms
COG1404	O	Posttranslational modification, protein turnover, chaperones
COG1405	K	Transcription
COG1406	N	Cell motility
COG1407	R	General function prediction only
COG1408	R	General function prediction only
COG1409	T	Signal transduction mechanisms
COG1410	E	Amino acid transport and metabolism
COG1411	R	General function prediction only
COG1412	J	Translation, ribosomal structure and biogenesis
COG1413	R	General function prediction only
COG1414	K	Transcription
COG1415	S	Function unknown
COG1416	P	Inorganic ion transport and metabolism
COG1417	S	Function unknown
COG1418	J	Translation, ribosomal structure and biogenesis
COG1418	R	General function prediction only
COG1419	N	Cell motility
COG1420	K	Transcription
COG1421	V	Defense mechanisms
COG1422	S	Function unknown
COG1423	L	Replication, recombination and repair
COG1424	H	Coenzyme transport and metabolism
COG1426	D	Cell cycle control, cell division, chromosome partitioning
COG1427	R	General function prediction only
COG1428	F	Nucleotide transport and metabolism
COG1429	H	Coenzyme transport and metabolism
COG1430	S	Function unknown
COG1431	J	Translation, ribosomal structure and biogenesis
COG1431	V	Defense mechanisms
COG1432	S	Function unknown
COG1433	O	Posttranslational modification, protein turnover, chaperones
COG1434	R	General function prediction only
COG1435	F	Nucleotide transport and metabolism
COG1436	C	Energy production and conversion
COG1437	T	Signal transduction mechanisms
COG1437	R	General function prediction only
COG1438	K	Transcription
COG1439	J	Translation, ribosomal structure and biogenesis
COG1440	G	Carbohydrate transport and metabolism
COG1441	H	Coenzyme transport and metabolism
COG1442	M	Cell wall/membrane/envelope biogenesis
COG1443	I	Lipid transport and metabolism
COG1444	J	Translation, ribosomal structure and biogenesis
COG1445	G	Carbohydrate transport and metabolism
COG1446	E	Amino acid transport and metabolism
COG1447	G	Carbohydrate transport and metabolism
COG1448	E	Amino acid transport and metabolism
COG1449	G	Carbohydrate transport and metabolism
COG1450	U	Intracellular trafficking, secretion, and vesicular transport
COG1451	R	General function prediction only
COG1452	M	Cell wall/membrane/envelope biogenesis
COG1453	R	General function prediction only
COG1454	C	Energy production and conversion
COG1455	G	Carbohydrate transport and metabolism
COG1456	C	Energy production and conversion
COG1457	F	Nucleotide transport and metabolism
COG1458	R	General function prediction only
COG1459	N	Cell motility
COG1459	U	Intracellular trafficking, secretion, and vesicular transport
COG1459	W	Extracellular structures
COG1460	K	Transcription
COG1461	R	General function prediction only
COG1462	M	Cell wall/membrane/envelope biogenesis
COG1463	M	Cell wall/membrane/envelope biogenesis
COG1464	P	Inorganic ion transport and metabolism
COG1465	E	Amino acid transport and metabolism
COG1466	L	Replication, recombination and repair
COG1467	L	Replication, recombination and repair
COG1468	V	Defense mechanisms
COG1469	H	Coenzyme transport and metabolism
COG1470	S	Function unknown
COG1471	J	Translation, ribosomal structure and biogenesis
COG1472	G	Carbohydrate transport and metabolism
COG1473	R	General function prediction only
COG1474	L	Replication, recombination and repair
COG1475	D	Cell cycle control, cell division, chromosome partitioning
COG1476	K	Transcription
COG1477	H	Coenzyme transport and metabolism
COG1478	H	Coenzyme transport and metabolism
COG1479	S	Function unknown
COG1480	R	General function prediction only
COG1481	K	Transcription
COG1482	G	Carbohydrate transport and metabolism
COG1483	R	General function prediction only
COG1484	L	Replication, recombination and repair
COG1485	R	General function prediction only
COG1486	G	Carbohydrate transport and metabolism
COG1487	R	General function prediction only
COG1488	H	Coenzyme transport and metabolism
COG1489	G	Carbohydrate transport and metabolism
COG1489	T	Signal transduction mechanisms
COG1490	J	Translation, ribosomal structure and biogenesis
COG1491	R	General function prediction only
COG1492	H	Coenzyme transport and metabolism
COG1493	T	Signal transduction mechanisms
COG1494	G	Carbohydrate transport and metabolism
COG1495	O	Posttranslational modification, protein turnover, chaperones
COG1496	P	Inorganic ion transport and metabolism
COG1497	K	Transcription
COG1498	J	Translation, ribosomal structure and biogenesis
COG1499	J	Translation, ribosomal structure and biogenesis
COG1500	J	Translation, ribosomal structure and biogenesis
COG1501	G	Carbohydrate transport and metabolism
COG1502	I	Lipid transport and metabolism
COG1503	J	Translation, ribosomal structure and biogenesis
COG1504	S	Function unknown
COG1505	E	Amino acid transport and metabolism
COG1506	E	Amino acid transport and metabolism
COG1507	S	Function unknown
COG1508	K	Transcription
COG1509	E	Amino acid transport and metabolism
COG1510	K	Transcription
COG1511	S	Function unknown
COG1512	S	Function unknown
COG1513	P	Inorganic ion transport and metabolism
COG1514	J	Translation, ribosomal structure and biogenesis
COG1515	L	Replication, recombination and repair
COG1516	N	Cell motility
COG1516	U	Intracellular trafficking, secretion, and vesicular transport
COG1517	V	Defense mechanisms
COG1518	V	Defense mechanisms
COG1519	M	Cell wall/membrane/envelope biogenesis
COG1520	M	Cell wall/membrane/envelope biogenesis
COG1521	H	Coenzyme transport and metabolism
COG1522	K	Transcription
COG1523	G	Carbohydrate transport and metabolism
COG1524	R	General function prediction only
COG1525	L	Replication, recombination and repair
COG1526	C	Energy production and conversion
COG1527	C	Energy production and conversion
COG1528	P	Inorganic ion transport and metabolism
COG1529	C	Energy production and conversion
COG1530	J	Translation, ribosomal structure and biogenesis
COG1531	S	Function unknown
COG1532	R	General function prediction only
COG1533	L	Replication, recombination and repair
COG1534	J	Translation, ribosomal structure and biogenesis
COG1535	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1536	N	Cell motility
COG1537	J	Translation, ribosomal structure and biogenesis
COG1538	M	Cell wall/membrane/envelope biogenesis
COG1539	H	Coenzyme transport and metabolism
COG1540	R	General function prediction only
COG1541	H	Coenzyme transport and metabolism
COG1542	S	Function unknown
COG1543	G	Carbohydrate transport and metabolism
COG1544	J	Translation, ribosomal structure and biogenesis
COG1545	R	General function prediction only
COG1546	H	Coenzyme transport and metabolism
COG1547	S	Function unknown
COG1548	S	Function unknown
COG1549	R	General function prediction only
COG1550	S	Function unknown
COG1551	T	Signal transduction mechanisms
COG1552	J	Translation, ribosomal structure and biogenesis
COG1553	P	Inorganic ion transport and metabolism
COG1554	G	Carbohydrate transport and metabolism
COG1555	L	Replication, recombination and repair
COG1556	C	Energy production and conversion
COG1558	N	Cell motility
COG1559	D	Cell cycle control, cell division, chromosome partitioning
COG1560	I	Lipid transport and metabolism
COG1561	S	Function unknown
COG1562	I	Lipid transport and metabolism
COG1563	R	General function prediction only
COG1564	H	Coenzyme transport and metabolism
COG1565	R	General function prediction only
COG1566	V	Defense mechanisms
COG1567	V	Defense mechanisms
COG1568	R	General function prediction only
COG1569	R	General function prediction only
COG1570	L	Replication, recombination and repair
COG1571	J	Translation, ribosomal structure and biogenesis
COG1572	O	Posttranslational modification, protein turnover, chaperones
COG1573	L	Replication, recombination and repair
COG1574	R	General function prediction only
COG1575	H	Coenzyme transport and metabolism
COG1576	J	Translation, ribosomal structure and biogenesis
COG1577	I	Lipid transport and metabolism
COG1578	S	Function unknown
COG1579	R	General function prediction only
COG1580	N	Cell motility
COG1581	K	Transcription
COG1582	R	General function prediction only
COG1583	V	Defense mechanisms
COG1584	C	Energy production and conversion
COG1585	O	Posttranslational modification, protein turnover, chaperones
COG1586	E	Amino acid transport and metabolism
COG1587	H	Coenzyme transport and metabolism
COG1588	J	Translation, ribosomal structure and biogenesis
COG1589	D	Cell cycle control, cell division, chromosome partitioning
COG1590	J	Translation, ribosomal structure and biogenesis
COG1591	L	Replication, recombination and repair
COG1592	C	Energy production and conversion
COG1593	G	Carbohydrate transport and metabolism
COG1594	K	Transcription
COG1595	K	Transcription
COG1596	M	Cell wall/membrane/envelope biogenesis
COG1597	I	Lipid transport and metabolism
COG1597	R	General function prediction only
COG1598	V	Defense mechanisms
COG1599	L	Replication, recombination and repair
COG1600	J	Translation, ribosomal structure and biogenesis
COG1601	J	Translation, ribosomal structure and biogenesis
COG1602	S	Function unknown
COG1603	J	Translation, ribosomal structure and biogenesis
COG1604	V	Defense mechanisms
COG1605	E	Amino acid transport and metabolism
COG1606	R	General function prediction only
COG1607	I	Lipid transport and metabolism
COG1608	I	Lipid transport and metabolism
COG1609	K	Transcription
COG1610	S	Function unknown
COG1611	R	General function prediction only
COG1612	H	Coenzyme transport and metabolism
COG1613	P	Inorganic ion transport and metabolism
COG1614	C	Energy production and conversion
COG1615	S	Function unknown
COG1617	J	Translation, ribosomal structure and biogenesis
COG1618	F	Nucleotide transport and metabolism
COG1619	M	Cell wall/membrane/envelope biogenesis
COG1620	C	Energy production and conversion
COG1621	G	Carbohydrate transport and metabolism
COG1622	C	Energy production and conversion
COG1623	T	Signal transduction mechanisms
COG1624	T	Signal transduction mechanisms
COG1625	C	Energy production and conversion
COG1626	G	Carbohydrate transport and metabolism
COG1627	S	Function unknown
COG1628	R	General function prediction only
COG1629	P	Inorganic ion transport and metabolism
COG1630	L	Replication, recombination and repair
COG1631	J	Translation, ribosomal structure and biogenesis
COG1632	J	Translation, ribosomal structure and biogenesis
COG1633	P	Inorganic ion transport and metabolism
COG1634	S	Function unknown
COG1635	H	Coenzyme transport and metabolism
COG1636	R	General function prediction only
COG1637	L	Replication, recombination and repair
COG1638	G	Carbohydrate transport and metabolism
COG1639	T	Signal transduction mechanisms
COG1640	G	Carbohydrate transport and metabolism
COG1641	S	Function unknown
COG1643	J	Translation, ribosomal structure and biogenesis
COG1644	K	Transcription
COG1645	R	General function prediction only
COG1646	I	Lipid transport and metabolism
COG1647	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1648	H	Coenzyme transport and metabolism
COG1649	S	Function unknown
COG1650	J	Translation, ribosomal structure and biogenesis
COG1651	O	Posttranslational modification, protein turnover, chaperones
COG1652	S	Function unknown
COG1653	G	Carbohydrate transport and metabolism
COG1654	K	Transcription
COG1655	S	Function unknown
COG1656	S	Function unknown
COG1657	I	Lipid transport and metabolism
COG1658	J	Translation, ribosomal structure and biogenesis
COG1659	S	Function unknown
COG1660	T	Signal transduction mechanisms
COG1661	R	General function prediction only
COG1662	X	Mobilome: prophages, transposons
COG1663	M	Cell wall/membrane/envelope biogenesis
COG1664	Z	Cytoskeleton
COG1665	R	General function prediction only
COG1666	S	Function unknown
COG1667	S	Function unknown
COG1668	C	Energy production and conversion
COG1668	P	Inorganic ion transport and metabolism
COG1669	R	General function prediction only
COG1670	J	Translation, ribosomal structure and biogenesis
COG1670	O	Posttranslational modification, protein turnover, chaperones
COG1671	S	Function unknown
COG1672	R	General function prediction only
COG1673	R	General function prediction only
COG1674	D	Cell cycle control, cell division, chromosome partitioning
COG1675	K	Transcription
COG1676	J	Translation, ribosomal structure and biogenesis
COG1677	N	Cell motility
COG1678	K	Transcription
COG1679	C	Energy production and conversion
COG1680	V	Defense mechanisms
COG1681	N	Cell motility
COG1682	G	Carbohydrate transport and metabolism
COG1682	M	Cell wall/membrane/envelope biogenesis
COG1683	S	Function unknown
COG1684	N	Cell motility
COG1685	E	Amino acid transport and metabolism
COG1686	M	Cell wall/membrane/envelope biogenesis
COG1687	E	Amino acid transport and metabolism
COG1688	V	Defense mechanisms
COG1689	S	Function unknown
COG1690	J	Translation, ribosomal structure and biogenesis
COG1691	F	Nucleotide transport and metabolism
COG1692	R	General function prediction only
COG1693	K	Transcription
COG1694	V	Defense mechanisms
COG1695	K	Transcription
COG1696	M	Cell wall/membrane/envelope biogenesis
COG1697	L	Replication, recombination and repair
COG1698	S	Function unknown
COG1699	N	Cell motility
COG1700	V	Defense mechanisms
COG1701	H	Coenzyme transport and metabolism
COG1702	T	Signal transduction mechanisms
COG1703	O	Posttranslational modification, protein turnover, chaperones
COG1704	S	Function unknown
COG1705	M	Cell wall/membrane/envelope biogenesis
COG1705	N	Cell motility
COG1706	N	Cell motility
COG1707	R	General function prediction only
COG1708	R	General function prediction only
COG1709	K	Transcription
COG1710	S	Function unknown
COG1711	L	Replication, recombination and repair
COG1712	R	General function prediction only
COG1713	R	General function prediction only
COG1714	S	Function unknown
COG1715	V	Defense mechanisms
COG1716	T	Signal transduction mechanisms
COG1717	J	Translation, ribosomal structure and biogenesis
COG1718	T	Signal transduction mechanisms
COG1719	R	General function prediction only
COG1720	J	Translation, ribosomal structure and biogenesis
COG1721	S	Function unknown
COG1722	L	Replication, recombination and repair
COG1723	S	Function unknown
COG1724	R	General function prediction only
COG1725	K	Transcription
COG1726	C	Energy production and conversion
COG1727	J	Translation, ribosomal structure and biogenesis
COG1728	S	Function unknown
COG1729	R	General function prediction only
COG1730	O	Posttranslational modification, protein turnover, chaperones
COG1731	H	Coenzyme transport and metabolism
COG1732	M	Cell wall/membrane/envelope biogenesis
COG1733	K	Transcription
COG1734	J	Translation, ribosomal structure and biogenesis
COG1735	R	General function prediction only
COG1736	J	Translation, ribosomal structure and biogenesis
COG1737	K	Transcription
COG1738	S	Function unknown
COG1739	R	General function prediction only
COG1740	C	Energy production and conversion
COG1741	R	General function prediction only
COG1742	R	General function prediction only
COG1743	L	Replication, recombination and repair
COG1744	M	Cell wall/membrane/envelope biogenesis
COG1745	S	Function unknown
COG1746	J	Translation, ribosomal structure and biogenesis
COG1747	S	Function unknown
COG1748	E	Amino acid transport and metabolism
COG1749	N	Cell motility
COG1750	R	General function prediction only
COG1751	S	Function unknown
COG1752	R	General function prediction only
COG1753	V	Defense mechanisms
COG1754	S	Function unknown
COG1755	S	Function unknown
COG1756	J	Translation, ribosomal structure and biogenesis
COG1757	C	Energy production and conversion
COG1758	K	Transcription
COG1759	F	Nucleotide transport and metabolism
COG1760	E	Amino acid transport and metabolism
COG1761	K	Transcription
COG1762	G	Carbohydrate transport and metabolism
COG1762	T	Signal transduction mechanisms
COG1763	H	Coenzyme transport and metabolism
COG1764	V	Defense mechanisms
COG1765	R	General function prediction only
COG1766	N	Cell motility
COG1766	U	Intracellular trafficking, secretion, and vesicular transport
COG1767	H	Coenzyme transport and metabolism
COG1768	R	General function prediction only
COG1769	V	Defense mechanisms
COG1770	E	Amino acid transport and metabolism
COG1771	S	Function unknown
COG1772	S	Function unknown
COG1773	C	Energy production and conversion
COG1774	T	Signal transduction mechanisms
COG1775	Q	Secondary metabolites biosynthesis, transport and catabolism
COG1776	T	Signal transduction mechanisms
COG1777	K	Transcription
COG1778	M	Cell wall/membrane/envelope biogenesis
COG1778	R	General function prediction only
COG1779	R	General function prediction only
COG1780	F	Nucleotide transport and metabolism
COG1781	F	Nucleotide transport and metabolism
COG1782	R	General function prediction only
COG1783	X	Mobilome: prophages, transposons
COG1784	R	General function prediction only
COG1785	P	Inorganic ion transport and metabolism
COG1785	R	General function prediction only
COG1786	R	General function prediction only
COG1787	V	Defense mechanisms
COG1788	I	Lipid transport and metabolism
COG1790	S	Function unknown
COG1791	E	Amino acid transport and metabolism
COG1792	D	Cell cycle control, cell division, chromosome partitioning
COG1793	L	Replication, recombination and repair
COG1794	M	Cell wall/membrane/envelope biogenesis
COG1795	C	Energy production and conversion
COG1796	L	Replication, recombination and repair
COG1797	H	Coenzyme transport and metabolism
COG1798	J	Translation, ribosomal structure and biogenesis
COG1799	D	Cell cycle control, cell division, chromosome partitioning
COG1800	R	General function prediction only
COG1801	S	Function unknown
COG1802	K	Transcription
COG1803	G	Carbohydrate transport and metabolism
COG1804	I	Lipid transport and metabolism
COG1805	C	Energy production and conversion
COG1806	T	Signal transduction mechanisms
COG1807	M	Cell wall/membrane/envelope biogenesis
COG1808	S	Function unknown
COG1809	H	Coenzyme transport and metabolism
COG1810	S	Function unknown
COG1811	S	Function unknown
COG1812	H	Coenzyme transport and metabolism
COG1813	J	Translation, ribosomal structure and biogenesis
COG1814	P	Inorganic ion transport and metabolism
COG1815	N	Cell motility
COG1816	F	Nucleotide transport and metabolism
COG1817	R	General function prediction only
COG1818	J	Translation, ribosomal structure and biogenesis
COG1819	G	Carbohydrate transport and metabolism
COG1820	G	Carbohydrate transport and metabolism
COG1821	R	General function prediction only
COG1822	S	Function unknown
COG1823	E	Amino acid transport and metabolism
COG1824	P	Inorganic ion transport and metabolism
COG1825	J	Translation, ribosomal structure and biogenesis
COG1826	U	Intracellular trafficking, secretion, and vesicular transport
COG1827	K	Transcription
COG1827	H	Coenzyme transport and metabolism
COG1828	F	Nucleotide transport and metabolism
COG1829	H	Coenzyme transport and metabolism
COG1830	G	Carbohydrate transport and metabolism
COG1831	R	General function prediction only
COG1832	R	General function prediction only
COG1833	R	General function prediction only
COG1834	E	Amino acid transport and metabolism
COG1835	M	Cell wall/membrane/envelope biogenesis
COG1836	S	Function unknown
COG1837	R	General function prediction only
COG1838	C	Energy production and conversion
COG1839	F	Nucleotide transport and metabolism
COG1840	P	Inorganic ion transport and metabolism
COG1841	J	Translation, ribosomal structure and biogenesis
COG1842	K	Transcription
COG1842	T	Signal transduction mechanisms
COG1843	N	Cell motility
COG1844	S	Function unknown
COG1845	C	Energy production and conversion
COG1846	K	Transcription
COG1847	R	General function prediction only
COG1848	R	General function prediction only
COG1849	S	Function unknown
COG1850	G	Carbohydrate transport and metabolism
COG1851	S	Function unknown
COG1852	S	Function unknown
COG1853	C	Energy production and conversion
COG1854	T	Signal transduction mechanisms
COG1855	R	General function prediction only
COG1856	R	General function prediction only
COG1857	V	Defense mechanisms
COG1858	O	Posttranslational modification, protein turnover, chaperones
COG1859	J	Translation, ribosomal structure and biogenesis
COG1860	F	Nucleotide transport and metabolism
COG1860	L	Replication, recombination and repair
COG1861	M	Cell wall/membrane/envelope biogenesis
COG1862	U	Intracellular trafficking, secretion, and vesicular transport
COG1863	P	Inorganic ion transport and metabolism
COG1864	F	Nucleotide transport and metabolism
