tigrfam	mainrole	sub1role
TIGR00167	Energy metabolism	Glycolysis/gluconeogenesis
TIGR04049	Unknown function	Enzymes of unknown specificity
TIGR00220	Cellular processes	Adaptations to atypical conditions
TIGR02961	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR01392	Amino acid biosynthesis	Aspartate family
TIGR00908	Transport and binding proteins	Amino acids, peptides and amines
TIGR01634	Mobile and extrachromosomal element functions	Prophage functions
TIGR01127	Amino acid biosynthesis	Pyruvate family
TIGR01447	DNA metabolism	DNA replication, recombination, and repair
TIGR00202	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00738	Unknown function	General
TIGR03600	Mobile and extrachromosomal element functions	Prophage functions
TIGR02136	Transport and binding proteins	Anions
TIGR00086	Protein synthesis	Other
TIGR02615	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02665	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR01220	Central intermediary metabolism	Other
TIGR01763	Energy metabolism	TCA cycle
TIGR02078	Amino acid biosynthesis	Aspartate family
TIGR00570	DNA metabolism	DNA replication, recombination, and repair
TIGR01029	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02826	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02964	Protein fate	Protein folding and stabilization
TIGR00196	Unknown function	General
TIGR02053	Cellular processes	Detoxification
TIGR02763	Mobile and extrachromosomal element functions	Prophage functions
TIGR01225	Energy metabolism	Amino acids and amines
TIGR01706	Energy metabolism	Aerobic
TIGR01765	Mobile and extrachromosomal element functions	Transposon functions
TIGR00501	Protein fate	Protein modification and repair
TIGR00904	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00384	Energy metabolism	Aerobic
TIGR00770	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01086	Energy metabolism	Sugars
TIGR01108	Transport and binding proteins	Cations and iron carrying compounds
TIGR00559	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR01753	Energy metabolism	Electron transport
TIGR01981	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00176	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR00437	Transport and binding proteins	Cations and iron carrying compounds
TIGR00981	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR03392	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01190	Protein fate	Protein and peptide secretion and trafficking
TIGR01406	DNA metabolism	DNA replication, recombination, and repair
TIGR00828	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04529	Transport and binding proteins	Other
TIGR04569	Protein synthesis	tRNA and rRNA base modification
TIGR00281	Cellular processes	Cell division
TIGR00541	Energy metabolism	Amino acids and amines
TIGR03211	Energy metabolism	Other
TIGR00354	DNA metabolism	DNA replication, recombination, and repair
TIGR00207	Cellular processes	Chemotaxis and motility
TIGR00514	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00266	Hypothetical proteins	Conserved
TIGR00562	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02833	Cellular processes	Sporulation and germination
TIGR03631	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR04056	Transport and binding proteins	Unknown substrate
TIGR03358	Protein fate	Protein and peptide secretion and trafficking
TIGR02570	Unknown	Unknown
TIGR01336	Energy metabolism	Photosynthesis
TIGR01115	Energy metabolism	Electron transport
TIGR00819	Hypothetical proteins	Conserved
TIGR00816	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03328	Amino acid biosynthesis	Aspartate family
TIGR00656	Amino acid biosynthesis	Aspartate family
TIGR03904	Unknown function	Enzymes of unknown specificity
TIGR02592	Unknown	Unknown
TIGR01235	Energy metabolism	Glycolysis/gluconeogenesis
TIGR01971	Energy metabolism	Electron transport
TIGR00853	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03841	Unknown function	Enzymes of unknown specificity
TIGR00755	Protein synthesis	tRNA and rRNA base modification
TIGR00454	Hypothetical proteins	Conserved
TIGR01617	Regulatory functions	DNA interactions
TIGR00107	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR01169	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01502	Energy metabolism	Amino acids and amines
TIGR00733	Transport and binding proteins	Amino acids, peptides and amines
TIGR03806	Hypothetical proteins	Conserved
TIGR03956	Protein fate	Protein modification and repair
TIGR01192	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00034	Amino acid biosynthesis	Aromatic amino acid family
TIGR03140	Cellular processes	Detoxification
TIGR00147	Unknown function	Enzymes of unknown specificity
TIGR01137	Amino acid biosynthesis	Serine family
TIGR02325	Transport and binding proteins	Anions
TIGR01814	Energy metabolism	Amino acids and amines
TIGR03090	Cellular processes	Sporulation and germination
TIGR04096	DNA metabolism	Restriction/modification
TIGR02029	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR01080	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02407	Cellular processes	Adaptations to atypical conditions
TIGR03286	Energy metabolism	Methanogenesis
TIGR03355	Protein fate	Protein and peptide secretion and trafficking
TIGR00237	DNA metabolism	Degradation of DNA
TIGR03935	Cellular processes	Pathogenesis
TIGR01031	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00332	Energy metabolism	Electron transport
TIGR00496	Protein synthesis	Translation factors
TIGR00041	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR03378	Energy metabolism	Anaerobic
TIGR00030	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02869	Cellular processes	Sporulation and germination
TIGR03507	Energy metabolism	Electron transport
TIGR00839	Energy metabolism	Amino acids and amines
TIGR02679	Hypothetical proteins	Conserved
TIGR02654	Cellular processes	Other
TIGR00804	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR00995	Transport and binding proteins	Amino acids, peptides and amines
TIGR00101	Central intermediary metabolism	Nitrogen metabolism
TIGR03197	Protein synthesis	tRNA and rRNA base modification
TIGR03800	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR00129	Energy metabolism	Anaerobic
TIGR01779	Transport and binding proteins	Other
TIGR04372	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02860	Cellular processes	Sporulation and germination
TIGR02249	DNA metabolism	DNA replication, recombination, and repair
TIGR02793	Regulatory functions	DNA interactions
TIGR02764	Cellular processes	Sporulation and germination
TIGR02889	Cellular processes	Sporulation and germination
TIGR00544	Protein fate	Protein modification and repair
TIGR00124	Energy metabolism	Fermentation
TIGR01158	Protein synthesis	Translation factors
TIGR00737	Unknown function	General
TIGR02562	Unknown	Unknown
TIGR02020	Energy metabolism	Photosynthesis
TIGR00537	Unknown function	Enzymes of unknown specificity
TIGR00596	DNA metabolism	DNA replication, recombination, and repair
TIGR04421	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03967	Unknown function	General
TIGR03948	Energy metabolism	Fermentation
TIGR00315	Energy metabolism	Chemoautotrophy
TIGR00173	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR00212	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01528	Transport and binding proteins	Other
TIGR01135	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00911	Transport and binding proteins	Amino acids, peptides and amines
TIGR01592	Mobile and extrachromosomal element functions	Prophage functions
TIGR00895	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00840	Transport and binding proteins	Cations and iron carrying compounds
TIGR00340	Unknown function	General
TIGR02117	Hypothetical proteins	Conserved
TIGR02248	DNA metabolism	DNA replication, recombination, and repair
TIGR00793	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02293	Cellular processes	Other
TIGR00200	DNA metabolism	DNA replication, recombination, and repair
TIGR01280	DNA metabolism	Degradation of DNA
TIGR02420	Transcription	Transcription factors
TIGR02005	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01030	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00727	Transport and binding proteins	Amino acids, peptides and amines
TIGR00838	Amino acid biosynthesis	Glutamate family
TIGR03891	Cellular processes	Toxin production and resistance
TIGR00558	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR00296	Unknown function	General
TIGR01224	Energy metabolism	Amino acids and amines
TIGR03745	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00406	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00459	Protein synthesis	tRNA aminoacylation
TIGR00308	Protein synthesis	tRNA and rRNA base modification
TIGR03124	Energy metabolism	Fermentation
TIGR02326	Central intermediary metabolism	Phosphorus compounds
TIGR02336	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01203	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR00337	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR01670	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00246	Protein synthesis	tRNA and rRNA base modification
TIGR03596	Protein synthesis	Other
TIGR01231	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR00375	Hypothetical proteins	Conserved
TIGR00442	Protein synthesis	tRNA aminoacylation
TIGR01939	Transport and binding proteins	Cations and iron carrying compounds
TIGR02158	Energy metabolism	Other
TIGR03756	Mobile and extrachromosomal element functions	Plasmid functions
TIGR03942	Protein fate	Protein modification and repair
TIGR03053	Energy metabolism	Photosynthesis
TIGR03300	Protein fate	Protein and peptide secretion and trafficking
TIGR01131	Energy metabolism	ATP-proton motive force interconversion
TIGR00400	Transport and binding proteins	Cations and iron carrying compounds
TIGR03393	Central intermediary metabolism	Other
TIGR04423	Unknown	Unknown
TIGR00784	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00445	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02820	Cellular processes	Detoxification
TIGR02207	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00475	Protein synthesis	Translation factors
TIGR00716	DNA metabolism	DNA replication, recombination, and repair
TIGR00333	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR00681	Transport and binding proteins	Cations and iron carrying compounds
TIGR00821	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01284	Central intermediary metabolism	Nitrogen fixation
TIGR01991	Protein fate	Protein folding and stabilization
TIGR02658	Energy metabolism	Amino acids and amines
TIGR01010	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01390	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR00134	Protein synthesis	tRNA aminoacylation
TIGR02482	Energy metabolism	Glycolysis/gluconeogenesis
TIGR01051	DNA metabolism	DNA replication, recombination, and repair
TIGR02294	Transport and binding proteins	Cations and iron carrying compounds
TIGR03888	Energy metabolism	Amino acids and amines
TIGR01138	Amino acid biosynthesis	Serine family
TIGR01945	Energy metabolism	Electron transport
TIGR01466	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00621	DNA metabolism	DNA replication, recombination, and repair
TIGR00712	Transport and binding proteins	Other
TIGR00416	DNA metabolism	DNA replication, recombination, and repair
TIGR00879	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00984	Transport and binding proteins	Amino acids, peptides and amines
TIGR01071	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00201	Cellular processes	DNA transformation
TIGR03621	Unknown function	Enzymes of unknown specificity
TIGR04549	Unknown function	Enzymes of unknown specificity
TIGR03499	Cellular processes	Chemotaxis and motility
TIGR01278	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR00214	Protein fate	Protein modification and repair
TIGR03349	Protein fate	Protein and peptide secretion and trafficking
TIGR00580	DNA metabolism	DNA replication, recombination, and repair
TIGR01090	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR00489	Protein synthesis	Translation factors
TIGR00753	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00112	Amino acid biosynthesis	Glutamate family
TIGR00525	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR03639	Unknown	Unknown
TIGR03282	Energy metabolism	Methanogenesis
TIGR02455	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR04522	Transport and binding proteins	Unknown substrate
TIGR03513	Cellular processes	Chemotaxis and motility
TIGR01171	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00469	Protein synthesis	tRNA aminoacylation
TIGR01384	Transcription	Transcription factors
TIGR03433	Regulatory functions	DNA interactions
TIGR00187	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR00455	Central intermediary metabolism	Sulfur metabolism
TIGR00917	Transport and binding proteins	Other
TIGR00779	Transport and binding proteins	Amino acids, peptides and amines
TIGR01070	DNA metabolism	DNA replication, recombination, and repair
TIGR01446	DNA metabolism	DNA replication, recombination, and repair
TIGR00100	Protein fate	Protein modification and repair
TIGR01109	Transport and binding proteins	Cations and iron carrying compounds
TIGR00936	Energy metabolism	Amino acids and amines
TIGR00518	Energy metabolism	Amino acids and amines
TIGR03923	Protein fate	Protein and peptide secretion and trafficking
TIGR01418	Energy metabolism	Glycolysis/gluconeogenesis
TIGR03182	Energy metabolism	Pyruvate dehydrogenase
TIGR01245	Amino acid biosynthesis	Aromatic amino acid family
TIGR01838	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR04077	Regulatory functions	Protein interactions
TIGR02850	Transcription	Transcription factors
TIGR00029	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00382	Protein fate	Protein folding and stabilization
TIGR01830	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR03612	Unknown function	Enzymes of unknown specificity
TIGR04546	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00726	Unknown function	General
TIGR01152	Energy metabolism	Electron transport
TIGR03385	Cellular processes	Detoxification
TIGR00357	Protein fate	Protein modification and repair
TIGR01028	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00081	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR02801	Transport and binding proteins	Other
TIGR01410	Protein fate	Protein and peptide secretion and trafficking
TIGR00618	DNA metabolism	DNA replication, recombination, and repair
TIGR02052	Cellular processes	Detoxification
TIGR02625	Energy metabolism	Sugars
TIGR01524	Transport and binding proteins	Cations and iron carrying compounds
TIGR01743	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00678	DNA metabolism	DNA replication, recombination, and repair
TIGR01900	Amino acid biosynthesis	Aspartate family
TIGR03158	Unknown	Unknown
TIGR01934	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR03985	Unknown	Unknown
TIGR01962	Energy metabolism	Electron transport
TIGR03747	Mobile and extrachromosomal element functions	Plasmid functions
TIGR01320	Energy metabolism	TCA cycle
TIGR00215	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01240	Central intermediary metabolism	Other
TIGR01100	Transport and binding proteins	Cations and iron carrying compounds
TIGR03850	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00022	Unknown function	General
TIGR02115	Transport and binding proteins	Cations and iron carrying compounds
TIGR03318	Unknown function	General
TIGR00553	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR02504	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02609	Mobile and extrachromosomal element functions	Other
TIGR03384	Regulatory functions	DNA interactions
TIGR02076	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR00032	Amino acid biosynthesis	Glutamate family
TIGR03763	Protein fate	Protein and peptide secretion and trafficking
TIGR02775	Cellular processes	Conjugation
TIGR01354	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR00657	Amino acid biosynthesis	Aspartate family
TIGR00688	Transport and binding proteins	Unknown substrate
TIGR02022	Energy metabolism	Amino acids and amines
TIGR03073	Protein synthesis	Other
TIGR03138	Transcription	RNA processing
TIGR00926	Transport and binding proteins	Amino acids, peptides and amines
TIGR01382	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01346	Energy metabolism	TCA cycle
TIGR01690	Mobile and extrachromosomal element functions	Plasmid functions
TIGR01002	Cellular processes	Toxin production and resistance
TIGR03262	Transport and binding proteins	Amino acids, peptides and amines
TIGR01828	Energy metabolism	Other
TIGR01738	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR01076	Cell envelope	Other
TIGR00928	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00407	Amino acid biosynthesis	Glutamate family
TIGR02230	Energy metabolism	ATP-proton motive force interconversion
TIGR02777	DNA metabolism	DNA replication, recombination, and repair
TIGR00130	Protein fate	Protein modification and repair
TIGR00817	Hypothetical proteins	Conserved
TIGR00422	Protein synthesis	tRNA aminoacylation
TIGR00127	Energy metabolism	TCA cycle
TIGR03172	Unknown function	General
TIGR03252	DNA metabolism	DNA replication, recombination, and repair
TIGR00560	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00158	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01166	Transport and binding proteins	Cations and iron carrying compounds
TIGR00079	Protein fate	Protein modification and repair
TIGR04388	Unknown function	General
TIGR03497	Cellular processes	Chemotaxis and motility
TIGR03347	Protein fate	Protein and peptide secretion and trafficking
TIGR03299	Mobile and extrachromosomal element functions	Other
TIGR00575	DNA metabolism	DNA replication, recombination, and repair
TIGR00045	Energy metabolism	Other
TIGR00338	Amino acid biosynthesis	Serine family
TIGR03114	Unknown	Unknown
TIGR00999	Transport and binding proteins	Other
TIGR04051	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03159	Unknown	Unknown
TIGR04541	Cellular processes	Biosynthesis of natural products
TIGR03944	Cellular processes	Biosynthesis of natural products
TIGR00535	Central intermediary metabolism	Polyamine biosynthesis
TIGR03021	Cell envelope	Surface structures
TIGR03271	Energy metabolism	Methanogenesis
TIGR02506	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR04368	Cellular processes	Adaptations to atypical conditions
TIGR03217	Energy metabolism	Other
TIGR01509	Unknown function	Enzymes of unknown specificity
TIGR00343	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR01457	Unknown function	Enzymes of unknown specificity
TIGR00483	Protein synthesis	Translation factors
TIGR02549	Unknown	Unknown
TIGR00328	Cellular processes	Chemotaxis and motility
TIGR03034	Hypothetical proteins	Conserved
TIGR00441	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02074	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR03235	DNA metabolism	Restriction/modification
TIGR00705	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03267	Energy metabolism	Methanogenesis
TIGR00470	Amino acid biosynthesis	Serine family
TIGR02323	Central intermediary metabolism	Phosphorus compounds
TIGR00431	Protein synthesis	tRNA and rRNA base modification
TIGR01279	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR01311	Energy metabolism	Other
TIGR01560	Mobile and extrachromosomal element functions	Prophage functions
TIGR00547	Protein fate	Protein and peptide secretion and trafficking
TIGR02865	Cellular processes	Sporulation and germination
TIGR00292	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR00023	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02974	Regulatory functions	DNA interactions
TIGR00468	Protein synthesis	tRNA aminoacylation
TIGR00667	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03833	Hypothetical proteins	Conserved
TIGR00587	DNA metabolism	DNA replication, recombination, and repair
TIGR00927	Transport and binding proteins	Cations and iron carrying compounds
TIGR03661	Cellular processes	Pathogenesis
TIGR00825	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02601	Protein fate	Protein and peptide secretion and trafficking
TIGR03119	Central intermediary metabolism	One-carbon metabolism
TIGR03709	Central intermediary metabolism	Phosphorus compounds
TIGR00091	Protein synthesis	tRNA and rRNA base modification
TIGR00110	Amino acid biosynthesis	Pyruvate family
TIGR02634	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00273	Energy metabolism	Electron transport
TIGR02659	Energy metabolism	Amino acids and amines
TIGR03559	Unknown function	Enzymes of unknown specificity
TIGR02705	DNA metabolism	DNA replication, recombination, and repair
TIGR00057	Protein synthesis	tRNA and rRNA base modification
TIGR00039	Protein synthesis	tRNA and rRNA base modification
TIGR00229	Regulatory functions	Small molecule interactions
TIGR00642	Central intermediary metabolism	Other
TIGR02589	Unknown	Unknown
TIGR00694	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR02073	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00795	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00049	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01405	DNA metabolism	DNA replication, recombination, and repair
TIGR02894	Regulatory functions	DNA interactions
TIGR03326	Energy metabolism	Sugars
TIGR00787	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02101	Cellular processes	Pathogenesis
TIGR00183	Energy metabolism	TCA cycle
TIGR01282	Central intermediary metabolism	Nitrogen fixation
TIGR02047	Regulatory functions	DNA interactions
TIGR00766	Transcription	Degradation of RNA
TIGR01213	Hypothetical proteins	Conserved
TIGR03653	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01180	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03123	Central intermediary metabolism	One-carbon metabolism
TIGR02395	Transcription	Transcription factors
TIGR00747	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00145	Unknown function	General
TIGR01436	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR02080	Amino acid biosynthesis	Aspartate family
TIGR01510	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR00802	Transport and binding proteins	Cations and iron carrying compounds
TIGR03628	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00307	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02169	Cellular processes	Cell division
TIGR01959	Energy metabolism	Electron transport
TIGR02765	Cellular processes	Adaptations to atypical conditions
TIGR01239	Energy metabolism	Sugars
TIGR03652	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02966	Signal transduction	Two-component systems
TIGR00043	Protein synthesis	Other
TIGR01811	Energy metabolism	TCA cycle
TIGR01630	Mobile and extrachromosomal element functions	Prophage functions
TIGR02819	Central intermediary metabolism	One-carbon metabolism
TIGR01092	Amino acid biosynthesis	Glutamate family
TIGR02944	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00912	Transport and binding proteins	Amino acids, peptides and amines
TIGR01113	Transport and binding proteins	Cations and iron carrying compounds
TIGR04283	Unknown function	Enzymes of unknown specificity
TIGR01393	Unknown function	General
TIGR00685	Cellular processes	Adaptations to atypical conditions
TIGR03757	Mobile and extrachromosomal element functions	Plasmid functions
TIGR03999	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00675	DNA metabolism	DNA replication, recombination, and repair
TIGR00708	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02929	Central intermediary metabolism	Nitrogen fixation
TIGR00128	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02530	Cellular processes	Chemotaxis and motility
TIGR03041	Energy metabolism	Photosynthesis
TIGR00395	Protein synthesis	tRNA aminoacylation
TIGR01165	Transport and binding proteins	Cations and iron carrying compounds
TIGR00670	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00989	Transport and binding proteins	Amino acids, peptides and amines
TIGR02783	Cellular processes	Conjugation
TIGR00213	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01023	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02508	Protein fate	Protein folding and stabilization
TIGR01878	Unknown	Unknown
TIGR04065	Cellular processes	Toxin production and resistance
TIGR02568	Protein fate	Protein and peptide secretion and trafficking
TIGR01844	Protein fate	Protein and peptide secretion and trafficking
TIGR00268	Hypothetical proteins	Conserved
TIGR01606	Mobile and extrachromosomal element functions	Prophage functions
TIGR01886	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03441	Transport and binding proteins	Other
TIGR03994	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03231	Energy metabolism	Amino acids and amines
TIGR03451	Cellular processes	Detoxification
TIGR03839	Cell envelope	Surface structures
TIGR00721	Regulatory functions	DNA interactions
TIGR02130	Amino acid biosynthesis	Aspartate family
TIGR00744	Unknown function	General
TIGR00699	Central intermediary metabolism	Other
TIGR02660	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02415	Energy metabolism	Fermentation
TIGR03031	Unknown	Unknown
TIGR00625	DNA metabolism	DNA replication, recombination, and repair
TIGR00488	Unknown function	Enzymes of unknown specificity
TIGR03789	Protein fate	Protein and peptide secretion and trafficking
TIGR00863	Transport and binding proteins	Cations and iron carrying compounds
TIGR01267	Energy metabolism	Amino acids and amines
TIGR00276	Protein synthesis	tRNA and rRNA base modification
TIGR01217	Central intermediary metabolism	Other
TIGR01857	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00453	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01859	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00762	Unknown function	General
TIGR01473	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR04406	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02668	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR00067	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01552	Cellular processes	Toxin production and resistance
TIGR02873	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR00149	Unknown function	Enzymes of unknown specificity
TIGR00040	Unknown function	Enzymes of unknown specificity
TIGR03107	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03237	DNA metabolism	Restriction/modification
TIGR00410	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04367	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR03708	Central intermediary metabolism	Phosphorus compounds
TIGR00278	Hypothetical proteins	Conserved
TIGR03228	Energy metabolism	Amino acids and amines
TIGR01460	Unknown function	Enzymes of unknown specificity
TIGR00583	DNA metabolism	DNA replication, recombination, and repair
TIGR03951	Energy metabolism	Electron transport
TIGR01563	Mobile and extrachromosomal element functions	Prophage functions
TIGR02013	Transcription	DNA-dependent RNA polymerase
TIGR02556	Unknown	Unknown
TIGR02025	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
