term	name	hierarchy
GO:0000105	histidine biosynthetic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|histidine metabolic process
GO:0050519	holo-citrate lyase synthase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|nucleotidyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|nucleotidyltransferase activity|DNA polymerase activity
GO:0016564	obsolete transcription repressor activity	
GO:0008897	holo-[acyl-carrier-protein] synthase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, for other substituted phosphate groups
GO:0019902	phosphatase binding	molecular_function|binding|protein binding|enzyme binding
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular_function|catalytic activity|oxidoreductase activity|dioxygenase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0006548	histidine catabolic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|cellular amino acid catabolic process
GO:0006548	histidine catabolic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|histidine metabolic process
GO:0045502	dynein binding	molecular_function|binding|protein binding
GO:0008251	tRNA-specific adenosine deaminase activity	molecular_function|catalytic activity|deaminase activity|adenosine deaminase activity
GO:0008251	tRNA-specific adenosine deaminase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines|adenosine deaminase activity
GO:0004677	DNA-dependent protein kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|protein kinase activity|protein serine/threonine kinase activity
GO:0004677	DNA-dependent protein kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|protein kinase activity|protein serine/threonine kinase activity
GO:0018492	carbon-monoxide dehydrogenase (acceptor) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0008912	lactaldehyde reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0008233	peptidase activity	molecular_function|catalytic activity|hydrolase activity
GO:0008972	phosphomethylpyrimidine kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0015631	tubulin binding	molecular_function|binding|protein binding|cytoskeletal protein binding
GO:0004055	argininosuccinate synthase activity	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds
GO:0016779	nucleotidyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups
GO:0016762	xyloglucan:xyloglucosyl transferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring hexosyl groups
GO:0008146	sulfotransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring sulfur-containing groups
GO:0003924	GTPase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity|nucleoside-triphosphatase activity
GO:0004806	triglyceride lipase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|lipase activity
GO:0008478	pyridoxal kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0008478	pyridoxal kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, alcohol group as acceptor
GO:0042302	structural constituent of cuticle	molecular_function|structural molecule activity
GO:0016044	membrane organization	biological_process|cellular process|cellular component organization
GO:0008892	guanine deaminase activity	molecular_function|catalytic activity|deaminase activity
GO:0008892	guanine deaminase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0051920	peroxiredoxin activity	molecular_function|antioxidant activity
GO:0004089	carbonate dehydratase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0016829	lyase activity	molecular_function|catalytic activity
GO:0016763	transferase activity, transferring pentosyl groups	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups
GO:0050840	extracellular matrix binding	molecular_function|binding
GO:0040007	growth	biological_process
GO:0047761	butyrate kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0047761	butyrate kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, carboxyl group as acceptor
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphoric diester hydrolase activity|cyclic-nucleotide phosphodiesterase activity
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|folic acid-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|folic acid-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|folic acid-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|folic acid-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|folic acid-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|folic acid-containing compound metabolic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|pteridine-containing compound biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|pteridine-containing compound biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|pteridine-containing compound biosynthetic process
GO:0009396	folic acid-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|pteridine-containing compound metabolic process|pteridine-containing compound biosynthetic process
GO:0047429	nucleoside-triphosphate diphosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity
GO:0005488	binding	molecular_function
GO:0033608	formyl-CoA transferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring sulfur-containing groups|CoA-transferase activity
GO:0004721	phosphoprotein phosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphatase activity
GO:0007015	actin filament organization	biological_process|cellular process|cellular component organization
GO:0004619	phosphoglycerate mutase activity	molecular_function|catalytic activity|isomerase activity|intramolecular transferase activity|intramolecular transferase activity, phosphotransferases
GO:0046140	corrin biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process
GO:0046140	corrin biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process
GO:0015412	ATPase-coupled molybdate transmembrane transporter activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|ATPase activity, coupled to transmembrane movement of substances|ATPase coupled ion transmembrane transporter activity|ATPase-coupled anion transmembrane transporter activity
GO:0019529	taurine catabolic process	biological_process|metabolic process|cellular metabolic process|sulfur compound metabolic process|sulfur compound catabolic process
GO:0019529	taurine catabolic process	biological_process|cellular process|cellular metabolic process|sulfur compound metabolic process|sulfur compound catabolic process
GO:0008255	ecdysis-triggering hormone activity	molecular_function|binding|protein binding|receptor binding|hormone activity|neuropeptide hormone activity
GO:0004022	alcohol dehydrogenase (NAD) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0050570	4-hydroxythreonine-4-phosphate dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0046356	acetyl-CoA catabolic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|acyl-CoA metabolic process|acetyl-CoA metabolic process
GO:0046356	acetyl-CoA catabolic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|acyl-CoA metabolic process|acetyl-CoA metabolic process
GO:0046356	acetyl-CoA catabolic process	biological_process|metabolic process|cellular metabolic process|sulfur compound metabolic process|sulfur compound catabolic process
GO:0046356	acetyl-CoA catabolic process	biological_process|cellular process|cellular metabolic process|sulfur compound metabolic process|sulfur compound catabolic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|UDP-glycosyltransferase activity|acetylglucosaminyltransferase activity
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring hexosyl groups|acetylglucosaminyltransferase activity
GO:0008610	lipid biosynthetic process	biological_process|metabolic process|organic substance metabolic process|lipid metabolic process
GO:0008610	lipid biosynthetic process	biological_process|metabolic process|primary metabolic process|lipid metabolic process
GO:0004129	cytochrome-c oxidase activity	molecular_function|electron carrier activity
GO:0004129	cytochrome-c oxidase activity	molecular_function|catalytic activity|oxidoreductase activity|heme-copper terminal oxidase activity
GO:0046416	D-amino acid metabolic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process
GO:0031683	G-protein beta/gamma-subunit complex binding	molecular_function|binding|macromolecular complex binding|protein complex binding
GO:0031683	G-protein beta/gamma-subunit complex binding	molecular_function|binding|protein binding|protein complex binding
GO:0004300	enoyl-CoA hydratase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0008676	3-deoxy-8-phosphooctulonate synthase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0019357	nicotinate nucleotide biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process|pyridine nucleotide biosynthetic process
GO:0019357	nicotinate nucleotide biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process|pyridine nucleotide biosynthetic process
GO:0019357	nicotinate nucleotide biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process|pyridine nucleotide biosynthetic process
GO:0019357	nicotinate nucleotide biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process|pyridine nucleotide biosynthetic process
GO:0047396	glycosylphosphatidylinositol diacylglycerol-lyase activity	molecular_function|catalytic activity|lyase activity|phosphorus-oxygen lyase activity
GO:0047396	glycosylphosphatidylinositol diacylglycerol-lyase activity	molecular_function|catalytic activity|cyclase activity
GO:0004791	thioredoxin-disulfide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors|disulfide oxidoreductase activity
GO:0004791	thioredoxin-disulfide reductase activity	molecular_function|antioxidant activity
GO:0004791	thioredoxin-disulfide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0004791	thioredoxin-disulfide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0051266	sirohydrochlorin ferrochelatase activity	molecular_function|catalytic activity|lyase activity|ferrochelatase activity
GO:0030247	polysaccharide binding	molecular_function|binding|carbohydrate binding
GO:0018618	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor
GO:0018618	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) activity	molecular_function|catalytic activity|oxidoreductase activity|dioxygenase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the aldehyde or oxo group of donors|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0008721	D-serine ammonia-lyase activity	molecular_function|catalytic activity|lyase activity|carbon-nitrogen lyase activity|ammonia-lyase activity
GO:0003954	NADH dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H
GO:0006526	arginine biosynthetic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|arginine metabolic process
GO:0006526	arginine biosynthetic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|cellular amino acid biosynthetic process
GO:0008184	glycogen phosphorylase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring hexosyl groups|phosphorylase activity
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0046848	hydroxyapatite binding	molecular_function|binding
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process|metabolic process|cellular metabolic process|generation of precursor metabolites and energy|electron transport chain|respiratory electron transport chain
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process|cellular process|cellular metabolic process|generation of precursor metabolites and energy|electron transport chain|respiratory electron transport chain
GO:0004000	adenosine deaminase activity	molecular_function|catalytic activity|deaminase activity
GO:0004000	adenosine deaminase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0005179	hormone activity	molecular_function|binding|protein binding|receptor binding
GO:0042242	cobyrinic acid a,c-diamide synthase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0008834	di-trans,poly-cis-decaprenylcistransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring alkyl or aryl (other than methyl) groups|prenyltransferase activity
GO:0010242	oxygen evolving activity	molecular_function|catalytic activity|oxidoreductase activity
GO:0009088	threonine biosynthetic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|cellular amino acid biosynthetic process
GO:0004725	protein tyrosine phosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphatase activity|phosphoprotein phosphatase activity
GO:0007099	centriole replication	biological_process|cellular process|cellular component organization|organelle organization|microtubule organizing center organization|centrosome organization
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|nucleotidyltransferase activity|uridylyltransferase activity
GO:0043039	tRNA aminoacylation	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|amino acid activation
GO:0048038	quinone binding	molecular_function|binding|cofactor binding
GO:0003726	double-stranded RNA adenosine deaminase activity	molecular_function|catalytic activity|deaminase activity|adenosine deaminase activity
GO:0003726	double-stranded RNA adenosine deaminase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines|adenosine deaminase activity
GO:0006434	seryl-tRNA aminoacylation	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|amino acid activation|tRNA aminoacylation|tRNA aminoacylation for protein translation
GO:0016043	cellular component organization	biological_process|cellular process
GO:0008764	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds|acid-amino acid ligase activity
GO:0005537	mannose binding	molecular_function|binding|carbohydrate binding|monosaccharide binding
GO:0005537	mannose binding	molecular_function|binding|small molecule binding|monosaccharide binding
GO:0004733	pyridoxamine-phosphate oxidase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the CH-NH2 group of donors|oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0048511	rhythmic process	biological_process
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|ribonuclease activity|endoribonuclease activity
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|endonuclease activity|endoribonuclease activity
GO:0008801	beta-phosphoglucomutase activity	molecular_function|catalytic activity|isomerase activity|intramolecular transferase activity|intramolecular transferase activity, phosphotransferases
GO:0009398	FMN biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0009398	FMN biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0009398	FMN biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0009398	FMN biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0009975	cyclase activity	molecular_function|catalytic activity
GO:0047471	maltose alpha-D-glucosyltransferase activity	molecular_function|catalytic activity|isomerase activity|intramolecular transferase activity
GO:0004329	formate-tetrahydrofolate ligase activity	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds
GO:0031492	nucleosomal DNA binding	molecular_function|binding|macromolecular complex binding|chromatin binding|nucleosome binding
GO:0050627	mycothione reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0050627	mycothione reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0017108	5'-flap endonuclease activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|endonuclease activity|endodeoxyribonuclease activity|endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0004427	inorganic diphosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity
GO:0009378	four-way junction helicase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity|nucleoside-triphosphatase activity|helicase activity|DNA helicase activity
GO:0035299	inositol pentakisphosphate 2-kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0035299	inositol pentakisphosphate 2-kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, alcohol group as acceptor
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	molecular_function|catalytic activity|oxidoreductase activity
GO:0052331	hemolysis in other organism involved in symbiotic interaction	biological_process|cellular process|cytolysis|cytolysis in other organism|hemolysis in other organism
GO:0005554	molecular_function	
GO:0071949	FAD binding	molecular_function|binding|cofactor binding|coenzyme binding|flavin adenine dinucleotide binding
GO:0071949	FAD binding	molecular_function|binding|small molecule binding|nucleotide binding|flavin adenine dinucleotide binding
GO:0004519	endonuclease activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|protein kinase activity|protein serine/threonine kinase activity
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|protein kinase activity|protein serine/threonine kinase activity
GO:0005515	protein binding	molecular_function|binding
GO:0004004	ATP-dependent RNA helicase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity|nucleoside-triphosphatase activity|ATPase activity|ATPase activity, coupled|ATP-dependent helicase activity
GO:0004004	ATP-dependent RNA helicase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity|nucleoside-triphosphatase activity|ATPase activity|ATPase activity, coupled|RNA-dependent ATPase activity
GO:0004004	ATP-dependent RNA helicase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity|nucleoside-triphosphatase activity|helicase activity|RNA helicase activity
GO:0015940	pantothenate biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0015940	pantothenate biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0015940	pantothenate biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0015940	pantothenate biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0015940	pantothenate biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|pantothenate metabolic process
GO:0015940	pantothenate biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|pantothenate metabolic process
GO:0008153	para-aminobenzoic acid biosynthetic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|cellular amino acid biosynthetic process
GO:0006633	fatty acid biosynthetic process	biological_process|metabolic process|organic substance metabolic process|lipid metabolic process|lipid biosynthetic process
GO:0006633	fatty acid biosynthetic process	biological_process|metabolic process|primary metabolic process|lipid metabolic process|lipid biosynthetic process
GO:0050136	NADH dehydrogenase (quinone) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|NADH dehydrogenase activity
GO:0050136	NADH dehydrogenase (quinone) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	molecular_function|electron carrier activity
GO:0017118	lipoyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring acyl groups|transferase activity, transferring acyl groups other than amino-acyl groups
GO:0010126	mycothiol metabolic process	biological_process|metabolic process|cellular metabolic process|sulfur compound metabolic process
GO:0010126	mycothiol metabolic process	biological_process|cellular process|cellular metabolic process|sulfur compound metabolic process
GO:0010126	mycothiol metabolic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process
GO:0010126	mycothiol metabolic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process
GO:0004659	prenyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0019441	tryptophan catabolic process to kynurenine	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|tryptophan metabolic process|tryptophan catabolic process
GO:0019441	tryptophan catabolic process to kynurenine	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|tryptophan metabolic process|tryptophan catabolic process
GO:0019441	tryptophan catabolic process to kynurenine	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|aromatic amino acid family catabolic process|tryptophan catabolic process
GO:0019441	tryptophan catabolic process to kynurenine	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|aromatic amino acid family catabolic process|tryptophan catabolic process
GO:0019441	tryptophan catabolic process to kynurenine	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic compound catabolic process|aromatic amino acid family catabolic process|tryptophan catabolic process
GO:0019441	tryptophan catabolic process to kynurenine	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic compound catabolic process|aromatic amino acid family catabolic process|tryptophan catabolic process
GO:0030528	obsolete transcription regulator activity	
